Y,X1,X2
0,0.45542738,0.141294726
1,0.616538369,0.716436179
0,0.909645798,0.142388956
0,0.564655574,0.078458055
0,0.193780338,0.333579325
0,0.222513317,0.101337001
1,0.725752377,0.993623563
0,0.860317265,0.085415776
1,0.837271889,0.841239699
1,0.858214067,0.377344725
0,0.284035605,0.569077825
1,0.650281839,0.632882722
0,0.554319672,0.244028788
1,0.697313475,0.898010603
1,0.937187922,0.562103572
0,0.336119897,0.666276462
1,0.822390629,0.948374618
0,0.206706249,0.310987232
1,0.728992113,0.85492224
0,0.108869797,0.156132873
0,0.849531016,0.285339281
0,0.066685475,0.969689984
0,0.286632503,0.898782157
1,0.734291112,0.758085225
0,0.493218634,0.561122272
0,0.521840305,0.028360113
1,0.534697208,0.815763396
0,0.678713658,0.07032912
0,0.901925972,0.022171745
0,0.839530689,0.121044398
0,0.110623458,0.515338456
0,0.922835161,0.191904301
0,0.06269947,0.606896183
0,0.847971861,0.088846175
0,0.035249728,0.539986679
1,0.956253215,0.922643672
0,0.977717936,0.125168998
1,0.751982971,0.565611107
0,0.488797567,0.543888974
0,0.289554019,0.63207345
0,0.663838831,0.037010423
0,0.008042482,0.809011666
0,0.874833101,0.279588144
0,0.881974289,0.294544876
1,0.449474707,0.915416083
1,0.422248041,0.974908569
0,0.391736545,0.186229295
0,0.298972314,0.198943959
0,0.338289569,0.83410036
0,0.005685876,0.570490778
0,0.210890176,0.177095883
1,0.976265442,0.775661437
0,0.337541874,0.879898898
0,0.934709455,0.006657831
1,0.931709697,0.532814688
0,0.487954256,0.37532555
0,0.098798271,0.360816683
1,0.632694226,0.830054909
1,0.523152615,0.760180855
0,0.827019121,0.123688744
0,0.113327425,0.995380365
0,0.409616782,0.707129009
0,0.32389459,0.705713424
0,0.323789167,0.058876641
1,0.9755008,0.646958073
0,0.663137321,0.306138107
0,0.553615108,0.460220143
0,0.078844055,0.707142709
1,0.694380283,0.792982872
0,0.347601042,0.756962337
1,0.603596222,0.706182065
0,0.29073808,0.535320348
0,0.243589533,0.772187146
0,0.073225302,0.087950699
0,0.771774013,0.180549638
0,0.341569897,0.472571609
0,0.299983305,0.970159896
1,0.507288695,0.887779952
0,0.267726131,0.345248001
1,0.669862882,0.555977068
0,0.089096019,0.551343745
0,0.041810125,0.747361472
0,0.206761553,0.982816493
1,0.839325961,0.770337697
1,0.897476097,0.800611904
0,0.760830229,0.16789154
0,0.015813215,0.222655242
0,0.54760115,0.412925069
1,0.41105833,0.879414668
0,0.473309806,0.616070544
0,0.175439345,0.752906875
0,0.971510209,0.109903491
0,0.31790029,0.384082877
1,0.884902115,0.619013255
1,0.498262875,0.958800758
0,0.111989864,0.327193036
0,0.422541225,0.732986177
0,0.029697024,0.772582282
0,0.371668883,0.337730169
1,0.871401159,0.608168661
0,0.462111298,0.142125153
0,0.005200307,0.851008848
0,0.303469696,0.893564628
0,0.300030618,0.588544381
0,0.702919821,0.099845983
0,0.036949012,0.494646837
0,0.353169469,0.505932865
0,0.343255211,0.413205594
0,0.686911365,0.090839624
0,0.615333524,0.155678873
1,0.788261345,0.382763711
0,0.20161827,0.619509443
0,0.183852784,0.372732604
0,0.836397305,0.214968925
0,0.153722389,0.912624089
1,0.7787984,0.470495402
0,0.182869734,0.573834542
0,0.232492011,0.704907157
0,0.097197682,0.95142149
0,0.984082388,0.163349514
0,0.588763646,0.089607984
0,0.741436186,0.040443729
1,0.611005493,0.602456794
1,0.699864911,0.505521229
1,0.722540997,0.460375374
0,0.228400584,0.578157306
0,0.533249086,0.366308675
0,0.163677849,0.387195784
1,0.658644574,0.948965483
0,0.574020388,0.552949149
1,0.869524305,0.526558098
0,0.793681968,0.138578892
0,0.803027732,0.114534026
1,0.922786919,0.320918892
0,0.869231431,0.277452451
0,0.373593981,0.240120977
1,0.899762133,0.348206944
0,0.149293556,0.060465083
1,0.813384335,0.703795366
0,0.529806405,0.316295024
0,0.350641049,0.96729133
0,0.284588648,0.67653366
0,0.743549006,0.210996413
0,0.142431198,0.809110664
0,0.904386607,0.233826632
0,0.989873746,0.206988355
0,0.843193322,0.115216657
0,0.190542297,0.646589895
0,0.321956598,0.113469856
0,0.234016759,0.524673637
0,0.496628546,0.233330837
0,0.45867776,0.605177931
0,0.109183621,0.61565454
1,0.955439178,0.684803154
0,0.020416268,0.16569662
1,0.371725021,0.996781294
0,0.439020282,0.274477136
0,0.216987235,0.204920374
0,0.542535627,0.18705799
1,0.87988973,0.404082882
1,0.752923236,0.731939877
0,0.890224408,0.222288591
1,0.694636919,0.742947796
0,0.161621537,0.67324628
0,0.446694454,0.100863432
0,0.085807652,0.246566435
1,0.376510422,0.989491132
0,0.056233567,0.000891225
0,0.56788405,0.204851119
0,0.279227481,0.909187411
1,0.648175921,0.836028119
0,0.31580829,0.943480829
0,0.468580627,0.199425148
0,0.984909032,0.251785202
1,0.890428638,0.607509605
1,0.895903407,0.934555045
0,0.751051207,0.376584451
1,0.474380419,0.984578835
0,0.200309736,0.369858885
0,0.412869823,0.231205715
0,0.303160815,0.177804188
1,0.592078846,0.814850663
1,0.872488292,0.758176412
0,0.178196461,0.755973635
0,0.275711708,0.262501638
1,0.981814003,0.99831119
0,0.180080064,0.090735447
1,0.98767015,0.871195711
0,0.140909015,0.124100478
0,0.748005247,0.060593119
0,0.135312201,0.374846864
0,0.062472305,0.429123098
1,0.549629975,0.692202504
0,0.259210729,0.316438591
0,0.922008569,0.278175266
1,0.566504079,0.624182228
1,0.948539837,0.335122013
0,0.183605758,0.405386694
0,0.094515044,0.50268473
0,0.836941951,0.280348018
0,0.372336252,0.13396838
1,0.810310968,0.371099844
1,0.903632005,0.66742195
0,0.168169658,0.837503541
0,0.920218845,0.127842662
0,0.607109122,0.183904366
0,0.797899461,0.02231788
1,0.674023614,0.785351962
0,0.427211941,0.428208909
1,0.685911892,0.998491766
1,0.993867712,0.850960265
0,0.274169579,0.100006027
1,0.495130591,0.698241876
0,0.328821909,0.345354678
0,0.37948204,0.22179772
0,0.171307793,0.072794937
0,0.02284961,0.590440478
0,0.479110164,0.264977922
0,0.109079453,0.921936505
0,0.056759395,0.896540706
0,0.991886772,0.153843079
0,0.845800682,0.243234757
1,0.582819722,0.987848774
0,0.089928741,0.392095158
0,0.220522918,0.269925237
0,0.353671748,0.565042847
1,0.578936086,0.87873737
0,0.692168161,0.199591757
0,0.760879749,0.123778344
1,0.77800991,0.774784244
1,0.519186224,0.964543097
0,0.41844281,0.555277892
1,0.712000791,0.747010919
0,0.135095204,0.547352797
0,0.570884516,0.1664294
0,0.358380201,0.320847611
0,0.666069336,0.229383875
1,0.709591623,0.870914774
1,0.482643207,0.847965131
0,0.405219779,0.642273674
0,0.33465568,0.367186686
1,0.609924421,0.999465711
0,0.81969355,0.090473869
0,0.008127685,0.286286524
1,0.845788374,0.60223577
1,0.847570063,0.922087157
0,0.999525568,0.096715509
0,0.093386787,0.202222723
1,0.699779497,0.654272837
0,0.214439586,0.230057505
1,0.504752614,0.877291522
1,0.514135172,0.862859591
0,0.150552146,0.585014025
1,0.77958547,0.808759349
1,0.772695701,0.801213642
0,0.095396326,0.8597927
0,0.597632052,0.472668159
1,0.801777061,0.888128808
0,0.074602383,0.759809493
0,0.096087059,0.588896031
0,0.940596327,0.157874696
0,0.077585,0.186475536
1,0.800290502,0.873713378
0,0.052923174,0.107667962
0,0.343162697,0.05555114
1,0.934089415,0.457972995
0,0.114524457,0.37959702
1,0.623760345,0.638310615
0,0.739817828,0.375159794
1,0.931647014,0.458207037
0,0.246577509,0.909934553
0,0.053718009,0.894606462
0,0.581582071,0.246374453
0,0.446999781,0.486380743
0,0.115276918,0.273081052
1,0.789858999,0.806068107
0,0.019194776,0.116566073
1,0.912896896,0.349937558
1,0.754514484,0.904086861
0,0.286803733,0.058543338
0,0.506776395,0.573327662
1,0.617342496,0.898647219
0,0.179194045,0.553454771
0,0.198798783,0.939229304
0,0.38336063,0.663975601
1,0.695068903,0.88381493
1,0.615946351,0.591417106
0,0.262551794,0.986881576
1,0.631038771,0.883279598
0,0.138255622,0.731087546
0,0.585383878,0.20174792
0,0.236077134,0.382477726
0,0.407204643,0.703387571
0,0.405353188,0.839550666
1,0.866373241,0.587679056
0,0.029330989,0.308538393
0,0.108430369,0.982813204
0,0.899524433,0.109706223
0,0.911376905,0.200801868
1,0.77926239,0.991988104
1,0.682778651,0.490492781
1,0.877953841,0.898264452
0,0.22848126,0.294355843
0,0.686306084,0.20520091
0,0.84924476,0.042899846
1,0.985728047,0.406227426
0,0.196172408,0.648053177
0,0.597562113,0.112338752
0,0.027089817,0.269050076
0,0.216211435,0.177175219
0,0.50559666,0.411873231
1,0.82666652,0.495273688
0,0.427102771,0.369912276
1,0.793663094,0.867848138
0,0.27555025,0.840236097
1,0.60220194,0.873653472
0,0.1007732,0.789404041
1,0.51682377,0.795926313
1,0.888135142,0.331685048
1,0.902326242,0.723126522
1,0.851612492,0.739564863
0,0.312929516,0.519271038
0,0.948149743,0.01591454
1,0.816097256,0.557962191
0,0.474149927,0.028846709
0,0.203586356,0.933962299
1,0.565140061,0.829504763
0,0.130196827,0.134359062
0,0.212107337,0.259789779
0,0.245515388,0.713082587
1,0.586742043,0.996946589
0,0.430038614,0.032682839
1,0.76723892,0.56697375
0,0.072884296,0.623617175
0,0.531559109,0.433473216
1,0.709765373,0.609807227
0,0.26673786,0.503563714
0,0.281992566,0.609459972
0,0.053322217,0.250850192
1,0.806587369,0.60115754
0,0.615429881,0.151879672
0,0.395908719,0.178169778
0,0.495586493,0.134013668
1,0.703325652,0.865302375
0,0.30559026,0.197084018
0,0.07379827,0.337086261
0,0.612109049,0.098039562
0,0.525802824,0.214894177
0,0.404643403,0.700148096
1,0.444434694,0.821447514
0,0.554151905,0.50042377
0,0.197005837,0.568097896
0,0.347162559,0.376342611
0,0.534546432,0.403403509
0,0.024899322,0.010604542
1,0.97497162,0.71165011
1,0.991181152,0.873539535
0,0.526834084,0.274611876
0,0.031019436,0.715417821
1,0.860988242,0.766467702
0,0.565146299,0.348879253
0,0.628182267,0.355570144
0,0.876796255,0.296162294
0,0.077619395,0.937289841
0,0.356570126,0.755157572
1,0.604295861,0.605955861
0,0.411569451,0.086163436
0,0.652033367,0.145505806
0,0.580885774,0.025905411
0,0.114135123,0.561128709
0,0.277426024,0.969953047
0,0.312398539,0.700953219
0,0.821984036,0.019776252
0,0.161640294,0.220526378
1,0.853515962,0.88530848
0,0.776683553,0.019858434
1,0.497280991,0.970931605
1,0.693076107,0.525725006
0,0.969336958,0.19776224
0,0.28471303,0.079432124
0,0.549624164,0.157407558
0,0.097355446,0.103166652
0,0.506275104,0.134811493
0,0.228484935,0.972646944
0,0.746170536,0.20577143
1,0.9510355,0.827553527
1,0.970408175,0.718130185
0,0.132608417,0.054375862
0,0.261211491,0.852942782
0,0.586594241,0.003536504
0,0.145822198,0.138131974
0,0.218219976,0.964610925
0,0.487787287,0.108887338
0,0.115422494,0.410891262
