Y,X1,X2,X3,X4
1,0.580465394,0.186297536,0.776026067,0.175751365
1,0.957675725,0.886382378,0.418672512,0.284228414
1,0.277571378,0.143720819,0.878731548,0.229770571
0,0.073976347,0.51859173,0.799081164,0.115999248
1,0.196895373,0.575175078,0.523324356,0.902435862
1,0.328958304,0.252661436,0.328920851,0.920950853
1,0.43181818,0.48025615,0.424473694,0.886770398
0,0.322590717,0.939154889,0.030062354,0.363703139
1,0.732853381,0.262267974,0.720307758,0.939727477
0,0.312925884,0.07441996,0.064789464,0.074985825
1,0.267304186,0.942807077,0.495942709,0.193954571
0,0.257027845,0.086971119,0.023269287,0.836157178
1,0.955088715,0.071396822,0.816035322,0.959286075
1,0.550869534,0.589356145,0.067718433,0.507188624
0,0.764893156,0.163328915,0.714526885,0.01563335
1,0.277221309,0.085340836,0.813184376,0.724656083
1,0.681865852,0.936782852,0.110415369,0.204876408
0,0.867122422,0.007148266,0.07997252,0.589758362
1,0.711213387,0.866296321,0.722921466,0.230627203
1,0.481309986,0.805015592,0.496266837,0.936976492
1,0.083004343,0.939697057,0.748120487,0.63860135
1,0.857526348,0.063950818,0.382662934,0.809113635
1,0.822585237,0.336033354,0.749313573,0.612661166
0,0.860159474,0.049434018,0.25291496,0.05267739
1,0.454128001,0.659879859,0.168382608,0.552508979
1,0.826170886,0.951877371,0.418996312,0.151394106
1,0.462203511,0.029833192,0.960451818,0.537267254
1,0.761093271,0.56499897,0.937298484,0.844897519
1,0.484782687,0.717552913,0.607238438,0.031663656
1,0.409005977,0.746604123,0.714878127,0.895439831
1,0.405794326,0.396575272,0.235858074,0.270539194
1,0.139021373,0.695666472,0.84199152,0.628308577
0,0.713748057,0.818843745,0.006138464,0.942871913
1,0.699849981,0.176668222,0.771816218,0.494253497
0,0.375934657,0.381065604,0.102028526,0.231059518
1,0.503191316,0.404615797,0.077227628,0.331828319
1,0.205412688,0.39234262,0.551960675,0.954514087
1,0.282679439,0.790168736,0.427508873,0.74957
1,0.554853585,0.858239559,0.673174874,0.879934188
1,0.92256234,0.551944941,0.564727882,0.204539253
1,0.470794228,0.925465888,0.706232668,0.462007066
1,0.468995502,0.335367538,0.87764461,0.588905667
1,0.687632588,0.624300119,0.905386316,0.119499215
1,0.327842865,0.648770755,0.274431969,0.247721401
1,0.146636995,0.369328775,0.822194393,0.219099351
0,0.155776587,0.399616958,0.87800376,0.018354195
1,0.310813671,0.171438489,0.627354597,0.439621873
1,0.79665081,0.467795069,0.782118718,0.952394722
1,0.920081634,0.296652049,0.983878403,0.173872592
1,0.151753162,0.276931905,0.664708524,0.871422019
1,0.638664286,0.24193703,0.764940969,0.755392656
