Y,X1,X2,X3,X4
0,0.702002531,0.664356474,0.212734824,0.076376557
1,0.193411844,0.932224939,0.580563941,0.404407845
1,0.903282133,0.426114172,0.505161947,0.208363021
0,0.516611214,0.115501249,0.148828535,0.516989347
1,0.605332018,0.524734891,0.67968667,0.87169156
0,0.828653614,0.544650927,0.313209051,0.128343465
1,0.898128948,0.374705504,0.015815063,0.967737201
0,0.915589271,0.564946544,0.267728666,0.034251446
0,0.102133306,0.052840442,0.569576186,0.565293311
1,0.41660644,0.805579145,0.656172199,0.941553981
1,0.47510579,0.380885647,0.793199234,0.458112943
1,0.967996664,0.903335152,0.982718815,0.035131532
0,0.413302171,0.801386282,0.081731062,0.227932351
1,0.943033681,0.723613689,0.748364562,0.130404224
0,0.180159889,0.660003674,0.884591035,0.254950144
1,0.901485976,0.090369637,0.649681538,0.953169842
1,0.154219252,0.854929041,0.918120133,0.742176015
0,0.845508469,0.229982805,0.373914444,0.379058611
1,0.844777121,0.616513008,0.514307176,0.436354394
0,0.438947178,0.253667613,0.13043532,0.838963839
0,0.574245004,0.577114709,0.036356262,0.126764032
1,0.006305879,0.78128368,0.679122387,0.779182699
0,0.73176461,0.266060775,0.656802647,0.06720961
1,0.485055243,0.721843684,0.229819939,0.965150404
1,0.69022706,0.672290925,0.334274431,0.588778136
0,0.068035502,0.140267981,0.09231687,0.654771598
0,0.380901049,0.111747324,0.114172968,0.811662848
0,0.043704085,0.013354978,0.494396286,0.646891359
1,0.782538836,0.466249704,0.456283532,0.828725912
0,0.101562002,0.152432843,0.708527374,0.264877616
0,0.689436904,0.271882308,0.013730141,0.312501772
0,0.184064163,0.791514523,0.513344872,0.057387848
0,0.1360952,0.973783055,0.041553836,0.035754601
1,0.741682298,0.698082076,0.167801944,0.903925587
0,0.72571674,0.935788881,0.007242494,0.005291731
1,0.951750346,0.538258345,0.13659635,0.979727184
0,0.398576257,0.386307016,0.192733833,0.730828885
1,0.3074872,0.808688303,0.773097531,0.367978665
1,0.082588111,0.911429724,0.981985717,0.923807695
0,0.510696756,0.026305538,0.154751035,0.179381107
0,0.146033049,0.422072734,0.105889219,0.871337732
0,0.601893646,0.886541296,0.16414711,0.330010378
1,0.536214624,0.705107739,0.836547603,0.461169038
0,0.186543451,0.022750352,0.110236027,0.601476262
0,0.519204855,0.506998187,0.127912968,0.176362375
0,0.793699096,0.076118659,0.2126613,0.470526512
1,0.978859283,0.610370134,0.13943267,0.96862247
0,0.701524182,0.341566504,0.039682037,0.572122881
1,0.605850389,0.664332091,0.43478543,0.346019929
0,0.802403674,0.149397177,0.288205705,0.5139455
1,0.689879475,0.994171714,0.569348961,0.484932645
1,0.959317891,0.223588809,0.47845246,0.846221412
0,0.61841316,0.582885719,0.358788196,0.414994136
1,0.83203669,0.599813145,0.615249765,0.560047563
1,0.863479163,0.547813487,0.341345409,0.724730615
0,0.324253503,0.153947631,0.180937398,0.770865202
0,0.513127542,0.707107143,0.322259044,0.099097287
1,0.398438706,0.375107603,0.760010825,0.468241549
1,0.628131404,0.71323211,0.853249475,0.424106416
0,0.156234748,0.020864376,0.710702984,0.058870101
0,0.17660238,0.340794391,0.545625334,0.515982296
1,0.558053061,0.121188173,0.98667642,0.896590399
1,0.016530992,0.527679672,0.830450508,0.690968606
1,0.364861363,0.792523637,0.692202318,0.692421635
0,0.414786628,0.064345851,0.083455144,0.162876771
1,0.174860214,0.565256046,0.773601331,0.629875299
0,0.532386891,0.01923553,0.278027148,0.443344182
0,0.463282498,0.625308327,0.064302101,0.243014128
1,0.763599436,0.494735417,0.342647857,0.845107617
1,0.592320211,0.776227361,0.985422306,0.93897094
1,0.854527127,0.842441955,0.539759504,0.334638594
1,0.705922491,0.899425448,0.436130433,0.719205491
1,0.705053135,0.98797701,0.541420134,0.979571474
0,0.939402206,0.26055725,0.161569661,0.515294563
0,0.435307192,0.305749663,0.244697628,0.551806333
1,0.733912436,0.86216744,0.995249716,0.809377439
1,0.261358785,0.500096631,0.537573555,0.725433109
1,0.441141336,0.265216582,0.559310812,0.934068086
1,0.196650758,0.706778485,0.579867123,0.569406651
0,0.298267721,0.292620963,0.623769073,0.461541987
1,0.818653939,0.801360726,0.436236948,0.799109068
1,0.689216385,0.644586429,0.419525394,0.594288716
1,0.768624745,0.137108391,0.749106895,0.756109262
0,0.697888864,0.861814438,0.21777015,0.049173773
0,0.523150009,0.996601177,0.225236223,0.208293258
1,0.92755275,0.412861265,0.60274349,0.073757853
0,0.174514017,0.617631469,0.435106503,0.528436731
0,0.743752578,0.93873446,0.127290633,0.014124335
1,0.477607546,0.322727771,0.807691008,0.624166438
