Y,X1,X2
1,0.615019524,0.647401473
1,0.851237674,0.656643965
1,0.775163293,0.910117398
0,0.450645507,0.502687157
1,0.705053052,0.998047684
1,0.408003688,0.851845712
1,0.383124959,0.780388246
1,0.39019654,0.849182656
0,0.20145398,0.376674226
0,0.293605376,0.098888658
1,0.601684076,0.635414699
1,0.177933873,0.949563208
0,0.536730926,0.129933602
0,0.133779791,0.270049186
0,0.76272489,0.030878666
0,0.144283868,0.672579489
0,0.034492402,0.043659152
1,0.8741493,0.770192162
0,0.657715012,0.14060892
1,0.494358109,0.900427398
0,0.354007329,0.30564415
0,0.099944924,0.849271005
1,0.712840053,0.329761499
0,0.439034706,0.500248752
0,0.130790992,0.236892964
0,0.0144602,0.940259703
1,0.379292179,0.75192915
1,0.982563311,0.10310623
1,0.882748749,0.415616697
1,0.175934805,0.988784516
0,0.080748761,0.834537634
1,0.509160891,0.59263853
0,0.241267946,0.550741023
0,0.158423628,0.128454318
0,0.108717266,0.736756724
0,0.47879154,0.470053824
0,0.738965233,0.011962855
1,0.722975891,0.859027916
1,0.657799403,0.427572402
1,0.749158082,0.419865769
0,0.075685412,0.426634156
1,0.903518496,0.94296933
1,0.688265508,0.557390042
0,0.254098394,0.292889363
1,0.715113952,0.592722285
1,0.523226642,0.655006985
1,0.906043194,0.911343921
0,0.270041212,0.392295237
0,0.657626576,0.002524962
1,0.670234226,0.736516154
1,0.912679609,0.194102078
1,0.436310578,0.884060019
1,0.399951423,0.612362937
0,0.818095265,0.166817259
0,0.41811396,0.431688897
0,0.116973381,0.146517201
0,0.058272585,0.145487164
1,0.553479261,0.887392115
0,0.099474859,0.647675757
0,0.371540215,0.249188608
0,0.660438793,0.01187978
1,0.76289158,0.597056997
0,0.36941549,0.413080131
0,0.019330809,0.497201266
1,0.522789577,0.943110533
1,0.90984947,0.54609241
0,0.154313976,0.593710702
0,0.936142922,0.019844781
1,0.956933775,0.604620654
0,0.038208265,0.611473019
0,0.046207734,0.533962615
0,0.33065182,0.269252225
0,0.159655205,0.554466296
1,0.815398348,0.435550233
0,0.652688096,0.299044615
1,0.816809819,0.31611188
0,0.177886895,0.755449107
0,0.104163361,0.091371854
1,0.840510857,0.464821152
0,0.188581331,0.595103798
0,0.540903283,0.137348552
1,0.861403657,0.460850375
1,0.483573678,0.614651067
1,0.816174857,0.694653705
1,0.805621506,0.718050023
0,0.000976618,0.302842556
0,0.328598856,0.328922919
0,0.032439981,0.319607549
1,0.939886474,0.811279164
0,0.307051377,0.480344354
0,0.799788248,0.083435007
1,0.960199119,0.517634324
1,0.314587609,0.973950394
0,0.409885318,0.575120843
1,0.894807161,0.335486608
0,0.480939846,0.405219316
0,0.092606556,0.252597673
0,0.542201885,0.172563233
0,0.41091306,0.402240036
1,0.749864605,0.322706505
